Table,Field,Description
orders_fact,order_id,Unique identifier for each order placed by a table
orders_fact,date,Date the order was placed (entered into the system prior to cooking & serving)
orders_fact,time,Time the order was placed (entered into the system prior to cooking & serving)
orders_fact,order_details_id,"Unique identifier for each pizza placed within each order (pizzas of the same type and size are kept in the same row, and the quantity increases)"
orders_fact,order_id,Foreign key that ties the details in each order to the order itself
orders_fact,pizza_id,"Foreign key that ties the pizza ordered to its details, like size and price"
orders_fact,quantity,Quantity ordered for each pizza of the same type and size
orders_fact,cost,Price of pizza multiplied by quantity (Price is present in pizzas_dim table)
pizzas_dim,pizza_id,Unique identifier for each pizza (constituted by its type and size)
pizzas_dim,pizza_type_id,Foreign key that ties each pizza to its broader pizza type
pizzas_dim,size,"Size of the pizza (Small, Medium, Large, X Large, or XX Large)"
pizzas_dim,price,Price of the pizza in USD
pizza_types_dim,pizza_type_id,Unique identifier for each pizza type
pizza_types_dim,name,Name of the pizza as shown in the menu
pizza_types_dim,category,"Category that the pizza fall under in the menu (Classic, Chicken, Supreme, or Veggie)"
pizza_types_dim,ingredients,"Comma-delimited ingredients used in the pizza as shown in the menu (they all include Mozzarella Cheese, even if not specified; and they all include Tomato Sauce, unless another sauce is specified)"
